image,yara_detected,detected_rules,is_cryptojacking
290600/centos,True,Detect_TeamRedMiner,True
335856182/centos,True,Detect_TeamRedMiner,True
409571548/centos,True,Detect_TeamRedMiner,True
470671670cac/centos,True,Detect_TeamRedMiner,True
657982966/centos,True,Detect_TeamRedMiner,True
67351/centos,True,Detect_TeamRedMiner,True
692383247/centos,True,Detect_TeamRedMiner,True
70056/centos,True,Detect_TeamRedMiner,True
7020206169/centos,True,Detect_TeamRedMiner,True
732197909/centos,True,Detect_TeamRedMiner,True
760618/postgres,True,Detect_TeamRedMiner,True
9964/centos,True,Detect_TeamRedMiner,True
aa20013364/httpd,True,Detect_TeamRedMiner,True
aayed/postgres,True,Detect_TeamRedMiner,True
abdelrhmandevops/centos,True,Detect_TeamRedMiner,True
abdounetworking/centos,True,Detect_TeamRedMiner,True
abdustonu9598/httpd,True,Detect_TeamRedMiner,True
abhidockey/centos,True,Detect_TeamRedMiner,True
abhigyangupta/centos,True,Detect_TeamRedMiner,True
abhishekdwibedy/centos,True,Detect_TeamRedMiner,True
abilifox/centos,True,Detect_TeamRedMiner,True
abucketice/centos,True,Detect_TeamRedMiner,True
accdocker10/centos,True,Detect_TeamRedMiner,True
acsshanehuang/centos,True,Detect_TeamRedMiner,True
acyj/centos,True,Detect_TeamRedMiner,True
address0214/centos,True,Detect_TeamRedMiner,True
aiopsyunwei/docker,True,Detect_TeamRedMiner,True
ajaybupathi/maven,True,Detect_TeamRedMiner,True
ajiteshrai/centos,True,Detect_TeamRedMiner,True
ajreinstein/httpd,True,Detect_TeamRedMiner,True
akhan/centos,True,Detect_TeamRedMiner,True
akreddy1991/centos,True,Detect_TeamRedMiner,True
akshata29/centos,True,Detect_TeamRedMiner,True
akshay21061993/centos,True,Detect_TeamRedMiner,True
akshay1552/centos,True,Detect_TeamRedMiner,True
akshay8833/mariadb,True,Detect_TeamRedMiner,True
akshaydocker07/centos,True,Detect_TeamRedMiner,True
akshayupadhya24/java,True,Detect_TeamRedMiner,True
akwongeni/centos,True,Detect_TeamRedMiner,True
alaguk01/python,True,Detect_TeamRedMiner,True
aleepl/spark,True,Detect_TeamRedMiner,True
alejandronordeck/centos,True,Detect_TeamRedMiner,True
alenwongbnj/logstash,True,Detect_TeamRedMiner,True
alexandresang/centos,True,Detect_TeamRedMiner,True
alexazhou/fedora,True,Detect_TeamRedMiner,True
alexpuhl/wordpress,True,Detect_TeamRedMiner,True
alfjan/centos,True,Detect_TeamRedMiner,True
alfasoft/wordpress,True,Detect_TeamRedMiner,True
aliyeveel/httpd,True,Detect_TeamRedMiner,True
almalinux/almalinux,True,Detect_TeamRedMiner,True
alongyin/centos,True,Detect_TeamRedMiner,True
alphadocker1/centos,True,Detect_TeamRedMiner,True
alpeza/jenkins,True,Detect_TeamRedMiner,True
alphalimaalpha/tomcat,True,Detect_TeamRedMiner,True
alpine/java,True,Detect_TeamRedMiner,True
alpinelinux/golang,True,Detect_TeamRedMiner,True
alpinian/golang,True,Detect_TeamRedMiner,True
alquamaj/centos,True,Detect_TeamRedMiner,True
alrajhi/php,True,Detect_TeamRedMiner,True
alstar1402/centos,True,Detect_TeamRedMiner,True
altafbasha/spark,True,Detect_TeamRedMiner,True
alvarovillalobos/postgres,True,Detect_TeamRedMiner,True
allanselvan/sonarqube,True,Detect_TeamRedMiner,True
aman267/tomcat,True,Detect_TeamRedMiner,True
amanpreetsareen/wordpress,True,Detect_TeamRedMiner,True
amarnath502/httpd,True,Detect_TeamRedMiner,True
amd64/centos,True,Detect_TeamRedMiner,True
ambrosektal/ruby,True,"Detect_Minerd_Miner,Detect_TeamRedMiner",True
amdoshi13/centos,True,Detect_TeamRedMiner,True
amemeggio/mongo,True,Detect_TeamRedMiner,True
amielucha/wordpress,True,Detect_TeamRedMiner,True
aminubakori/hello-world,True,Detect_TeamRedMiner,True
amodena/node,True,Detect_TeamRedMiner,True
amrrizk95/centos,True,Detect_TeamRedMiner,True
amygo/wordpress,True,Detect_TeamRedMiner,True
anassbt18/httpd,True,Detect_TeamRedMiner,True
andok10/python,True,Detect_TeamRedMiner,True
andreibaitov/logstash,True,Detect_TeamRedMiner,True
andremaxxcard/php,True,Detect_TeamRedMiner,True
andreypavlovleadarchitect/zookeeper,True,"Detect_TeamRedMiner,Detect_XMRig",True
andrewsg/r-base,True,Detect_TeamRedMiner,True
andriy30072001/postgres,True,Detect_TeamRedMiner,True
andyalamo/nginx,True,Detect_TeamRedMiner,True
aneesh8080/docker,True,Detect_TeamRedMiner,True
anirbmuk/node,True,Detect_TeamRedMiner,True
anishnath/centos,True,Detect_TeamRedMiner,True
anjalianju/centos,True,Detect_TeamRedMiner,True
ankittomar0207/centos,True,Detect_TeamRedMiner,True
ankitydv111/wordpress,True,Detect_TeamRedMiner,True
annareddy26/java,True,Detect_TeamRedMiner,True
annsloate/elixir,True,Detect_TeamRedMiner,True
ansonchoi/postgres,True,Detect_TeamRedMiner,True
antit/tomcat,True,Detect_TeamRedMiner,True
antoniakstas/postgres,True,Detect_TeamRedMiner,True
antlabskr/centos,True,Detect_TeamRedMiner,True
antonioinstituto/wordpress,True,Detect_TeamRedMiner,True
antonmarin/php,True,Detect_TeamRedMiner,True
antonzotov/node,True,Detect_TeamRedMiner,True
antrea/golang,True,Detect_TeamRedMiner,True
anujintouch32/phpmyadmin,True,Detect_TeamRedMiner,True
anuragkk/centos,True,Detect_TeamRedMiner,True
