image,yara_detected,detected_rules,is_cryptojacking
040898/python,True,Detect_TeamRedMiner,True
041019901991/httpd,False,,False
04300115116/hello-world,False,,False
04300115116/python,False,,False
0420/mysql,False,,False
041988/tomcat,True,Detect_TeamRedMiner,True
044k/java,False,,False
050119922014/rabbitmq,False,,False
05011984/openjdk,True,Detect_TeamRedMiner,True
041012/node,True,Detect_TeamRedMiner,True
0503001011/haproxy,False,,False
050119922014/mongo,False,,False
050464/alpine,False,,False
0503001011/mysql,False,,False
050612/hello-world,False,,False
0503001011/redis,False,,False
05111990/golang,False,,False
05101993/centos,True,Detect_TeamRedMiner,True
05121999/ubuntu,False,,False
05121999/mariadb,False,,False
05101993/mysql,False,,False
05050/hello-world,False,,False
0519xyl/busybox,False,,False
05211998/ubuntu,False,,False
0540436/httpd,False,,False
052686/httpd,False,,False
05197324996/java,True,Detect_TeamRedMiner,True
05kritika/hello-world,False,,False
05dina/django,False,,False
0604lie/docker,False,,False
0606200106062001/liquibase,False,,False
0541cyfj/tomcat,False,,False
060819962021/postgres,True,Detect_TeamRedMiner,True
06102020/busybox,False,,False
060819962021/node,False,,False
06102000/drupal,False,,False
060942/php,True,Detect_TeamRedMiner,True
061053/httpd,False,,False
061023/mysql,False,,False
0611426633/wordpress,True,Detect_TeamRedMiner,True
06122019/sentry,False,,False
06475127/hello-world,True,Detect_TeamRedMiner,True
06262016/mysql,False,,False
0612sha/zookeeper,True,Detect_TeamRedMiner,True
06623230322/jenkins,False,,False
06623230322/redis,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer",True
06623230322/mongo,False,,False
06623230322/mysql,False,,False
06623230322/kibana,False,,False
0684/hello-world,True,Detect_TeamRedMiner,True
0693726732/python,False,,False
06patilmaahi/postgres,False,,False
06patilmaahi/redis,False,,False
06b06538/traefik,True,"Detect_LolMiner,Detect_Minerd_Miner,Detect_NBMiner,Detect_PhoenixMiner,Detect_SRBMiner,Detect_TeamRedMiner,Detect_XMRig,Detect_bfgminer,Detect_ethminer,Detect_sgminer",True
0687007388/nextcloud,True,Detect_TeamRedMiner,True
06d91a1239/kibana,False,,False
07031991/alpine,False,,False
07021990/kong,False,,False
06tom6/spark,False,,False
07051993/alpine,False,,False
07021990/postgres,False,,False
070387/ubuntu,False,,False
071202/mongo,False,,False
0708/docker,False,,False
071993/wordpress,False,,False
07061989/hello-world,False,,False
07302016/ubuntu,False,,False
072792/debian,False,,False
0728docker2807/tomcat,False,,False
0758jian/caddy,False,,False
07569g/ubuntu,True,Detect_TeamRedMiner,True
07g11a04a6/jenkins,False,,False
0788644687/mariadb,False,,False
07rohan/httpd,True,Detect_TeamRedMiner,True
08031073/postgres,True,Detect_TeamRedMiner,True
0788644687/wordpress,True,Detect_TeamRedMiner,True
08052022/docker,False,,False
080598/nginx,False,,False
080692/mysql,False,,False
0806okbyuland/centos,False,,False
080459/jenkins,True,Detect_TeamRedMiner,True
080813/registry,False,,False
08071989/tomcat,False,,False
080598/django,True,Detect_TeamRedMiner,True
0809/mysql,False,,False
0809/kibana,False,,False
0809/logstash,False,,False
0809/elasticsearch,False,,False
081295333394/hello-world,False,,False
080988/centos,True,Detect_TeamRedMiner,True
081224738582/postgres,True,Detect_TeamRedMiner,True
081994/python,False,,False
08160248617/docker,True,Detect_TeamRedMiner,True
082001/debian,True,Detect_TeamRedMiner,True
0831fox/hello-world,False,,False
081707981/php,True,Detect_TeamRedMiner,True
082285422559/mariadb,False,,False
0834/httpd,False,,False
085731115657/redis,False,,False
0865079783/nginx,False,,False
085397775255/wordpress,True,Detect_TeamRedMiner,True
08k0126/centos,False,,False
0875695/notary,False,,False
08kq1a1204/python,False,,False
0872/zookeeper,False,,False
0902vrlt/debian,False,,False
08agv/wordpress,True,Detect_TeamRedMiner,True
090108/java,False,,False
08midliner/mariadb,False,,False
0908066447/httpd,False,,False
0908sumit/rabbitmq,False,,False
0903690831/tomcat,True,Detect_TeamRedMiner,True
09111190/httpd,False,,False
09121996aremieye/mongo,False,,False
09111997/python,True,Detect_TeamRedMiner,True
091milan/busybox,False,,False
091milan/buildpack-deps,False,,False
091milan/debian,False,,False
091milan/hello-world,False,,False
091973/node,True,Detect_TeamRedMiner,True
0922anhill/debian,True,Detect_TeamRedMiner,True
0921zqq/tomcat,False,,False
092800/nginx,False,,False
092697/openjdk,False,,False
0932017798/redis,False,,False
0956759158/alpine,False,,False
0949349991/alpine,False,,False
096419/alpine,False,,False
09121992/sonarqube,True,Detect_TeamRedMiner,True
0964813691/java,True,Detect_TeamRedMiner,True
09846412/fedora,True,Detect_TeamRedMiner,True
0984760xxx/emqx,False,,False
0969443915/fluentd,False,,False
0967840437/registry,True,Detect_TeamRedMiner,True
0985679714/phpmyadmin,False,,False
098890/ubuntu,False,,False
0964813691/python,True,Detect_TeamRedMiner,True
099300308/httpd,False,,False
0994/hello-world,False,,False
0abdullahansari/mongo,False,,False
09andriy12/python,False,,False
0ac3iwx2j7wddor3qmeo/registry,False,,False
0ad528c20cdfbb1ac/httpd,False,,False
0antonov/fluentd,False,,False
0as22r5w0/node,False,,False
0b8d572d1c7d/httpd,False,,False
0bbaa953/wordpress,False,,False
0bara/python,False,,False
0body0/hello-world,False,,False
0bug/php,False,,False
0byte2/alpine,False,,False
0daypwn/hello-world,False,,False
0dayyouk/ubuntu,False,,False
0chaos/nats,False,,False
0dayyouk/php,False,,False
0delta/sl,False,,False
0degreecold/centos,False,,False
0der/jenkins,False,,False
0duke/photon,False,,False
0fpy/alpine,False,,False
0f22e439/wordpress,False,,False
0jas/haproxy,False,,False
0giri/jenkins,False,,False
0jas/kong,False,,False
0josec0/node,False,,False
0lfi/python,False,,False
0koara0/centos,False,,False
0krim/postgres,False,,False
0layfolk0/perl,False,,False
0lga/centos,False,,False
0lga/registry,False,,False
0lga/nginx,False,,False
0livera/mongo,False,,False
0mounach0/redis,False,,False
0mniteck/debian,False,,False
0o0o00o00000/alpine,False,,False
0mounach0/hello-world,False,,False
0om4r/postgres,False,,False
0ohebayo0/rabbitmq,False,,False
0penshift/node,False,,False
0om4r/wordpress,False,,False
0rland0/hello-world,False,,False
0r3z/debian,False,,False
0rxa/alpine,False,,False
0sreal0/jenkins,False,,False
0rxa/jenkins,False,,False
0rxa/nginx,False,,False
0sunzero0/mariadb,False,,False
0tchenash/docker,False,,False
0track/cassandra,False,,False
0username0/httpd,False,,False
0username0/mysql,False,,False
0x00000000/php,False,,False
0utman/php,False,,False
0wen0/ros,False,,False
0x00cc00/hello-world,False,,False
0x00000024/caddy,False,,False
0x00000024/mysql,False,,False
0x00000024/ubuntu,False,,False
0x01be/haskell,False,,False
0x01be/maven,False,,False
0x01be/gradle,False,,False
0x01be/swift,False,,False
0x06065a/java,False,,False
0x06065a/nginx,False,,False
0x06065a/zookeeper,False,,False
0x152a/mariadb,False,,False
0x126/ros,False,,False
0x1997/consul,False,,False
0x194372/elasticsearch,False,,False
0x28d/node,False,,False
0x314/golang,False,,False
0x34hz/tomcat,False,,False
0x314/rust,False,,False
0x524c/ubuntu,False,,False
0x3f97/nginx,False,,False
0x449/gradle,False,,False
0x524c/node,False,,False
0x57/ros,False,,False
0x546f/mysql,False,,False
0x546f/php,False,,False
0x6d682d7331/unit,False,,False
0x6d6c/php,False,,False
0x74696d/busybox,False,,False
0x74696d/jenkins,False,,False
0x74696d/logstash,False,,False
0x74696d/mysql,False,,False
0x74696d/registry,False,,False
0x76/zookeeper,False,,False
0x74696d/python,False,,False
0x76/rust,False,,False
0x86/postgres,False,,False
0x86/rails,False,,False
0x7c2/alpine,False,,False
0x9009/sonarqube,False,,False
0xarkrant/jenkins,False,,False
0x8c/phpmyadmin,False,,False
0xb1b1/nextcloud,False,,False
0xbyt3z/sentry,False,,False
0xaww/mysql,False,,False
0xcd/composer,False,,False
0xc000007b/mediawiki,False,,False
0xcardinal/alpine,False,,False
0xce/redis,False,,False
0xdropz/hello-world,False,,False
0xcode/hello-world,False,,False
0xdani/mysql,False,,False
0xdeadb33/hello-world,False,,False
0xelasyaf/elasticsearch,False,,False
0xelasyaf/nginx,False,,False
0xelasyaf/mariadb,False,,False
0xelasyaf/redis,False,,False
0xelasyaf/varnish,False,,False
0xf0ff/wordpress,False,,False
0xelasyaf/wordpress,False,,False
0xf4/alpine,False,,False
0xfad/drupal,False,,False
0xffzero/elasticsearch,False,,False
0xffzero/zookeeper,False,,False
0xgg/elasticsearch,False,,False
0xiso/debian,False,,False
0xisho/alpine,False,,False
0ximposter/solr,False,,False
0xii/caddy,False,,False
0xj9/postgres,False,,False
0xlem0nade/caddy,False,,False
0xkhaled/hello-world,False,,False
0xmantis/python,False,,False
0xnu20/python,False,,False
0xmstfa/python,False,,False
0xpwnstar/postgres,False,,False
0xvesion/dart,False,,False
0yukali0/jenkins,False,,False
0yukali0/spark,False,,False
0zc4r1n/centos,False,,False
0zc4r1n/gcc,False,,False
1000999888/busybox,False,,False
1000bc/ghost,False,,False
0zra/nginx,False,,False
10004579/java,False,,False
1000bc/nginx,False,,False
1000bulbs/elasticsearch,False,,False
1000kit/liquibase,False,,False
1001011101111101010111/python,False,,False
10010/tomcat,False,,False
100200091/jenkins,False,,False
10012748/java,False,,False
10012018/hello-world,False,,False
10022000/docker,False,,False
1002088/debian,False,,False
10025040/httpd,False,,False
1002680/oraclelinux,False,,False
1003141843/mysql,False,,False
1002805709/node,False,,False
10041990/wordpress,False,,False
1003844689/ros,False,,False
1004052263/tomcat,False,,False
1004546922/elasticsearch,False,,False
1004546922/redis,False,,False
1004947301/busybox,False,,False
1004546922/kibana,False,,False
1005532213/python,False,,False
1004947301/wordpress,False,,False
100514735019/mongo,False,,False
100592114/docker,False,,False
1006055461/docker,False,,False
1006332542/hello-world,False,,False
10061982/hello-world,False,,False
1006439255/odoo,False,,False
1006439255/postgres,False,,False
100712504021/java,False,,False
100722959/hello-world,False,,False
10071510/centos,False,,False
1007287849/hello-world,False,,False
1007287849/nats,False,,False
100909/golang,False,,False
100861111/cirros,False,,False
1009455631/mysql,False,,False
1009835447/docker,False,,False
100hellos/bash,False,,False
100hellos/clojure,False,,False
100hellos/dart,False,,False
100hellos/elixir,False,,False
100hellos/erlang,False,,False
100hellos/fsharp,False,,False
100hellos/golang,False,,False
100hellos/groovy,False,,False
100hellos/haskell,False,,False
100hellos/java,False,,False
100hellos/perl,False,,False
100hellos/php,False,,False
100hellos/python,False,,False
